N,P,K,temperature,humidity,ph,rainfall,label
34.0,61.0,25.0,29.72,69.02,7.09,36.28,lentil
20.0,66.0,16.0,23.59,63.47,6.54,35.44,lentil
23.0,72.0,16.0,23.03,69.88,6.78,41.02,lentil
3.0,69.0,24.0,24.42,69.16,7.34,52.32,lentil
33.0,73.0,22.0,18.04,61.43,6.43,42.17,lentil
17.0,74.0,20.0,22.96,64.72,6.73,53.63,lentil
29.0,67.0,21.0,26.81,63.87,7.38,52.97,lentil
11.0,65.0,22.0,23.32,68.37,6.4,36.29,lentil
14.0,77.0,20.0,19.78,64.7,6.02,44.09,lentil
14.0,68.0,22.0,18.57,68.58,6.53,37.94,lentil
36.0,71.0,17.0,28.69,67.1,6.17,47.83,lentil
30.0,69.0,21.0,28.99,66.24,6.78,42.56,lentil
25.0,70.0,16.0,19.53,69.31,6.43,46.83,lentil
17.0,61.0,19.0,22.33,63.0,6.44,51.92,lentil
34.0,66.0,21.0,27.09,60.39,7.48,49.96,lentil
23.0,76.0,24.0,28.34,67.0,7.15,42.96,lentil
25.0,69.0,20.0,27.72,61.49,7.42,37.92,lentil
30.0,60.0,22.0,28.05,65.41,5.56,47.4,lentil
17.0,61.0,17.0,29.76,65.06,5.5,42.78,lentil
10.0,62.0,21.0,23.3,68.37,7.1,41.91,lentil
37.0,79.0,19.0,27.06,61.98,7.33,45.39,lentil
6.0,63.0,18.0,18.41,68.56,6.12,49.29,lentil
21.0,71.0,18.0,23.28,65.37,6.85,45.33,lentil
32.0,62.0,22.0,27.04,63.66,5.55,41.61,lentil
36.0,78.0,19.0,25.64,65.91,6.21,38.5,lentil
27.0,62.0,18.0,29.97,65.7,5.68,51.03,lentil
14.0,75.0,24.0,19.49,66.4,7.19,48.33,lentil
24.0,69.0,16.0,19.71,60.15,6.42,39.15,lentil
2.0,72.0,17.0,27.69,65.83,5.53,36.02,lentil
25.0,76.0,23.0,21.01,67.06,6.78,52.37,lentil
39.0,57.0,18.0,23.42,61.1,6.77,43.03,lentil
30.0,58.0,24.0,26.25,60.47,6.78,35.82,lentil
35.0,59.0,16.0,26.18,67.97,7.01,46.45,lentil
3.0,70.0,18.0,26.01,61.19,5.66,52.1,lentil
10.0,72.0,15.0,27.47,69.92,6.09,42.23,lentil
9.0,60.0,22.0,18.1,67.37,5.92,35.04,lentil
22.0,66.0,18.0,18.0,61.77,7.14,44.93,lentil
6.0,67.0,19.0,27.25,64.67,6.26,49.62,lentil
21.0,68.0,18.0,25.66,62.2,7.36,51.99,lentil
20.0,58.0,20.0,18.24,62.72,6.46,53.72,lentil
29.0,64.0,19.0,22.52,63.08,7.12,53.06,lentil
18.0,61.0,16.0,25.03,67.17,6.29,45.58,lentil
19.0,80.0,24.0,21.8,65.28,6.94,38.55,lentil
32.0,56.0,21.0,20.42,68.9,7.21,44.66,lentil
24.0,71.0,24.0,29.43,65.52,6.78,42.23,lentil
29.0,75.0,17.0,28.01,64.56,6.4,36.45,lentil
17.0,71.0,23.0,22.37,68.98,5.93,53.05,lentil
2.0,70.0,20.0,20.58,64.42,5.73,54.36,lentil
2.0,64.0,21.0,24.04,61.85,6.79,52.11,lentil
25.0,61.0,16.0,18.2,62.99,7.34,52.54,lentil
4.0,79.0,22.0,24.28,65.81,5.64,48.19,lentil
17.0,79.0,19.0,24.05,66.15,6.48,41.17,lentil
32.0,69.0,18.0,21.09,63.77,6.55,35.48,lentil
6.0,73.0,20.0,26.26,60.4,5.97,47.62,lentil
33.0,56.0,21.0,20.91,61.59,5.7,50.34,lentil
30.0,61.0,21.0,21.32,68.48,6.44,43.98,lentil
16.0,59.0,16.0,18.84,64.51,5.83,48.69,lentil
40.0,69.0,22.0,28.59,69.48,6.16,53.55,lentil
22.0,80.0,15.0,22.27,65.37,5.92,51.53,lentil
13.0,20.0,41.0,19.15,92.59,7.12,103.56,pomegranate
22.0,29.0,42.0,21.36,91.45,5.86,114.24,pomegranate
1.0,17.0,40.0,22.94,93.69,6.69,103.45,pomegranate
37.0,26.0,38.0,23.16,93.24,5.63,113.91,pomegranate
35.0,14.0,42.0,18.24,87.97,6.13,101.87,pomegranate
24.0,11.0,35.0,18.47,92.9,6.87,102.8,pomegranate
15.0,17.0,42.0,23.77,89.03,6.22,109.3,pomegranate
6.0,29.0,42.0,22.52,92.8,6.66,101.67,pomegranate
17.0,7.0,44.0,21.61,90.57,7.38,106.72,pomegranate
5.0,15.0,40.0,19.06,85.41,6.93,114.1,pomegranate
35.0,29.0,39.0,19.8,94.72,6.1,110.79,pomegranate
6.0,28.0,43.0,24.41,92.38,6.78,102.6,pomegranate
3.0,13.0,38.0,20.14,88.39,5.84,111.84,pomegranate
23.0,17.0,44.0,21.36,93.53,7.48,101.83,pomegranate
2.0,7.0,39.0,19.64,90.9,6.65,110.49,pomegranate
2.0,27.0,43.0,24.71,91.3,7.05,102.17,pomegranate
20.0,29.0,39.0,18.15,89.65,6.53,107.53,pomegranate
4.0,30.0,44.0,21.37,90.03,7.18,112.45,pomegranate
28.0,7.0,40.0,21.0,92.65,7.01,108.75,pomegranate
27.0,12.0,35.0,19.03,89.54,6.44,107.3,pomegranate
8.0,29.0,36.0,20.37,94.12,5.61,106.59,pomegranate
16.0,24.0,36.0,23.35,88.15,5.92,109.03,pomegranate
34.0,14.0,38.0,24.87,91.02,5.84,109.24,pomegranate
26.0,11.0,41.0,21.38,90.43,6.18,102.13,pomegranate
31.0,25.0,42.0,24.67,91.72,7.3,102.45,pomegranate
12.0,12.0,37.0,20.31,93.22,5.68,107.55,pomegranate
21.0,17.0,45.0,19.85,91.79,5.97,103.16,pomegranate
38.0,27.0,36.0,19.98,94.66,7.29,114.54,pomegranate
12.0,6.0,35.0,20.59,92.51,5.53,103.35,pomegranate
16.0,21.0,37.0,22.02,91.09,6.38,101.58,pomegranate
34.0,18.0,43.0,21.9,94.1,5.87,102.6,pomegranate
8.0,24.0,42.0,19.51,86.0,6.6,112.61,pomegranate
25.0,17.0,37.0,19.85,87.77,7.19,112.45,pomegranate
1.0,11.0,42.0,22.03,86.57,5.86,105.79,pomegranate
4.0,27.0,41.0,22.32,86.45,6.39,114.12,pomegranate
30.0,21.0,43.0,24.45,94.59,6.45,101.69,pomegranate
0.0,25.0,40.0,24.39,90.17,6.48,104.0,pomegranate
5.0,12.0,40.0,24.0,89.7,5.58,107.98,pomegranate
39.0,21.0,37.0,22.33,89.39,5.78,114.3,pomegranate
31.0,23.0,38.0,19.15,90.13,7.03,108.25,pomegranate
7.0,29.0,36.0,18.3,91.94,6.64,100.39,pomegranate
19.0,6.0,45.0,24.01,93.09,6.52,107.1,pomegranate
13.0,21.0,42.0,20.11,91.73,6.22,100.79,pomegranate
22.0,30.0,36.0,20.88,88.03,6.31,101.11,pomegranate
7.0,15.0,41.0,18.94,91.92,6.96,109.01,pomegranate
11.0,23.0,37.0,19.61,92.24,7.38,104.03,pomegranate
25.0,11.0,44.0,19.0,90.02,5.53,100.1,pomegranate
21.0,19.0,37.0,20.67,91.37,6.2,110.42,pomegranate
18.0,29.0,44.0,20.3,89.46,6.64,100.14,pomegranate
7.0,24.0,38.0,21.37,90.68,7.43,103.94,pomegranate
13.0,28.0,38.0,18.5,86.74,5.71,113.88,pomegranate
10.0,20.0,42.0,23.82,86.11,5.99,103.84,pomegranate
24.0,21.0,40.0,24.97,93.37,6.84,108.72,pomegranate
10.0,17.0,36.0,22.37,90.94,6.93,111.52,pomegranate
10.0,23.0,44.0,21.41,89.76,7.34,102.05,pomegranate
36.0,13.0,38.0,21.86,91.14,5.62,101.4,pomegranate
22.0,20.0,42.0,21.08,88.47,5.82,104.8,pomegranate
32.0,15.0,43.0,22.46,88.03,5.51,100.01,pomegranate
30.0,30.0,42.0,21.59,93.97,7.32,111.65,pomegranate
14.0,6.0,37.0,23.75,89.71,6.76,109.34,pomegranate
33.0,28.0,45.0,20.65,93.86,7.05,103.09,pomegranate
36.0,28.0,41.0,18.46,94.42,6.58,107.83,pomegranate
4.0,19.0,40.0,21.22,86.31,5.66,112.98,pomegranate
20.0,19.0,42.0,21.76,94.56,6.07,111.37,pomegranate
8.0,16.0,44.0,19.12,85.69,6.92,102.53,pomegranate
38.0,10.0,44.0,18.02,87.17,7.3,114.5,pomegranate
28.0,20.0,36.0,19.95,85.52,7.35,114.39,pomegranate
19.0,15.0,41.0,24.07,94.28,5.76,113.42,pomegranate
23.0,30.0,36.0,22.24,94.56,5.62,101.18,pomegranate
8.0,21.0,37.0,23.51,92.62,5.56,113.23,pomegranate
5.0,29.0,40.0,22.24,91.61,5.61,106.61,pomegranate
4.0,10.0,44.0,18.66,86.52,7.18,102.33,pomegranate
31.0,11.0,39.0,24.04,91.35,6.31,102.36,pomegranate
17.0,9.0,41.0,18.29,92.91,5.65,103.65,pomegranate
13.0,22.0,39.0,21.47,85.09,7.15,114.28,pomegranate
26.0,11.0,41.0,23.23,85.84,7.15,107.92,pomegranate
18.0,14.0,40.0,23.29,89.67,6.87,104.33,pomegranate
6.0,26.0,40.0,24.23,90.58,5.66,108.61,pomegranate
20.0,27.0,38.0,24.79,92.81,7.28,100.55,pomegranate
13.0,12.0,43.0,24.38,94.01,7.12,109.21,pomegranate
14.0,19.0,40.0,18.07,85.77,7.39,100.79,pomegranate
37.0,13.0,35.0,20.84,89.4,5.93,112.05,pomegranate
14.0,22.0,39.0,21.56,92.01,7.31,109.41,pomegranate
11.0,6.0,43.0,24.36,91.72,6.62,113.05,pomegranate
3.0,22.0,43.0,18.17,93.95,5.9,106.1,pomegranate
22.0,13.0,36.0,22.85,89.8,6.15,114.96,pomegranate
39.0,9.0,40.0,24.67,90.2,6.36,103.17,pomegranate
22.0,24.0,40.0,20.25,94.53,5.63,113.76,pomegranate
13.0,7.0,36.0,19.97,85.72,6.87,109.84,pomegranate
39.0,7.0,39.0,18.62,89.25,5.66,109.54,pomegranate
31.0,19.0,36.0,23.53,90.21,6.09,112.0,pomegranate
25.0,30.0,37.0,23.48,87.08,7.35,104.95,pomegranate
36.0,5.0,41.0,23.88,86.95,7.37,103.16,pomegranate
18.0,8.0,38.0,19.24,86.85,6.31,109.97,pomegranate
9.0,7.0,44.0,21.74,90.51,5.89,101.68,pomegranate
5.0,6.0,38.0,20.3,94.57,7.22,104.93,pomegranate
15.0,25.0,40.0,22.49,87.35,6.38,112.37,pomegranate
9.0,16.0,38.0,24.09,85.23,5.59,111.84,pomegranate
21.0,19.0,37.0,18.09,94.93,5.66,107.73,pomegranate
4.0,16.0,45.0,18.07,85.54,6.64,105.52,pomegranate
106.0,87.0,47.0,29.82,75.34,5.95,107.2,banana
107.0,84.0,48.0,26.45,84.76,5.78,104.82,banana
95.0,72.0,50.0,29.94,81.21,5.57,96.43,banana
112.0,75.0,54.0,25.41,82.52,5.82,112.9,banana
85.0,85.0,54.0,27.69,75.55,5.94,116.78,banana
109.0,78.0,55.0,28.02,79.12,6.26,109.62,banana
83.0,81.0,48.0,27.45,83.41,6.07,117.02,banana
118.0,81.0,52.0,27.45,77.27,5.69,105.88,banana
84.0,77.0,50.0,28.07,76.98,5.75,111.83,banana
97.0,81.0,48.0,26.51,79.28,5.61,103.71,banana
88.0,78.0,49.0,27.85,75.2,6.22,99.53,banana
81.0,94.0,47.0,26.88,79.04,6.16,107.9,banana
103.0,81.0,47.0,29.71,81.77,6.36,117.41,banana
118.0,74.0,49.0,25.1,79.25,6.03,90.59,banana
114.0,85.0,49.0,27.56,82.99,5.8,92.87,banana
113.0,95.0,54.0,29.87,78.63,5.93,114.37,banana
89.0,94.0,54.0,27.26,83.38,6.15,100.93,banana
86.0,83.0,48.0,28.61,79.42,5.65,111.8,banana
100.0,94.0,47.0,27.05,75.33,6.42,114.61,banana
109.0,81.0,46.0,26.02,79.24,6.15,90.43,banana
98.0,93.0,45.0,26.75,83.63,6.05,95.68,banana
114.0,71.0,47.0,29.44,75.28,6.06,98.25,banana
99.0,91.0,48.0,26.85,79.18,5.92,106.63,banana
114.0,93.0,54.0,27.55,75.06,6.09,112.49,banana
81.0,84.0,46.0,28.23,77.57,6.16,111.89,banana
82.0,82.0,51.0,25.2,82.5,6.37,113.25,banana
81.0,79.0,47.0,29.04,76.13,6.21,119.11,banana
91.0,88.0,55.0,27.71,83.01,6.01,112.97,banana
86.0,82.0,55.0,29.47,84.66,5.89,115.91,banana
100.0,89.0,53.0,25.57,77.28,6.44,112.45,banana
91.0,80.0,55.0,26.34,82.47,5.71,102.39,banana
114.0,90.0,47.0,29.42,83.61,6.4,105.86,banana
91.0,80.0,54.0,26.59,80.0,6.19,92.51,banana
107.0,92.0,48.0,28.52,83.16,5.9,95.61,banana
98.0,92.0,50.0,25.29,76.27,5.95,108.01,banana
97.0,87.0,47.0,28.75,81.11,6.26,103.75,banana
89.0,77.0,53.0,27.68,78.79,5.66,101.99,banana
88.0,83.0,47.0,29.11,77.89,5.63,113.42,banana
86.0,71.0,53.0,28.63,81.19,6.44,95.14,banana
91.0,70.0,45.0,25.49,82.63,6.11,102.31,banana
111.0,83.0,45.0,28.64,79.52,5.56,94.89,banana
89.0,76.0,55.0,28.63,81.77,6.1,112.19,banana
86.0,91.0,52.0,27.59,79.33,5.81,100.96,banana
105.0,82.0,54.0,25.48,76.77,5.51,117.63,banana
95.0,88.0,54.0,28.35,84.22,6.15,106.38,banana
86.0,83.0,45.0,26.83,82.0,6.43,102.67,banana
86.0,87.0,48.0,26.73,81.57,5.78,100.01,banana
101.0,71.0,48.0,25.85,81.04,5.95,116.15,banana
113.0,87.0,49.0,26.79,79.36,6.05,115.8,banana
117.0,75.0,54.0,25.51,80.72,5.77,93.62,banana
107.0,87.0,53.0,29.52,83.76,5.99,100.29,banana
88.0,72.0,48.0,26.49,84.87,6.15,114.91,banana
86.0,95.0,48.0,26.68,76.72,5.75,96.91,banana
89.0,90.0,50.0,28.46,83.17,6.29,111.4,banana
113.0,77.0,50.0,25.3,82.34,5.71,104.1,banana
86.0,72.0,51.0,25.64,78.96,5.98,100.55,banana
115.0,82.0,47.0,25.73,80.59,5.54,105.86,banana
81.0,81.0,53.0,28.35,79.29,5.83,114.95,banana
107.0,70.0,52.0,29.18,79.89,5.67,96.76,banana
104.0,72.0,50.0,30.0,76.2,6.24,105.81,banana
82.0,83.0,50.0,26.86,83.93,5.75,103.55,banana
86.0,88.0,46.0,27.54,76.99,5.86,115.51,banana
103.0,73.0,54.0,27.71,77.3,6.1,92.49,banana
108.0,89.0,47.0,27.12,83.28,6.06,112.59,banana
92.0,92.0,45.0,29.69,84.34,6.0,116.06,banana
91.0,86.0,46.0,29.77,81.88,5.56,110.91,banana
87.0,76.0,55.0,25.04,81.77,6.22,105.05,banana
82.0,84.0,46.0,28.03,77.09,6.4,93.1,banana
115.0,82.0,48.0,25.88,80.77,6.37,117.41,banana
91.0,85.0,51.0,26.96,83.8,5.89,111.11,banana
120.0,78.0,50.0,25.94,84.1,6.4,95.91,banana
101.0,85.0,48.0,25.39,81.59,6.44,93.43,banana
110.0,76.0,48.0,27.53,75.18,5.85,91.07,banana
117.0,94.0,50.0,25.66,83.61,5.78,96.36,banana
95.0,85.0,52.0,28.67,78.33,5.93,96.2,banana
85.0,90.0,53.0,26.13,79.36,5.89,119.95,banana
84.0,87.0,45.0,26.23,78.12,5.8,101.91,banana
119.0,94.0,46.0,28.76,83.84,6.47,103.11,banana
119.0,91.0,49.0,28.79,78.85,5.74,109.5,banana
87.0,82.0,50.0,28.29,78.68,6.38,93.25,banana
100.0,81.0,49.0,27.83,84.35,6.23,117.74,banana
81.0,92.0,52.0,29.97,83.34,5.58,115.89,banana
94.0,91.0,47.0,28.01,75.95,5.95,110.46,banana
111.0,89.0,46.0,29.23,77.49,5.52,95.38,banana
113.0,92.0,47.0,25.57,75.51,5.67,105.69,banana
81.0,78.0,51.0,26.0,76.0,6.28,114.84,banana
120.0,94.0,52.0,26.9,81.75,6.0,96.34,banana
113.0,75.0,45.0,26.31,83.83,6.12,101.57,banana
94.0,88.0,46.0,29.3,81.51,6.45,109.04,banana
112.0,86.0,51.0,26.02,75.11,5.82,111.15,banana
118.0,73.0,54.0,28.29,82.89,5.76,102.46,banana
97.0,91.0,55.0,27.96,81.68,6.19,118.43,banana
82.0,95.0,48.0,29.83,82.54,6.5,100.28,banana
84.0,94.0,55.0,28.33,83.15,6.26,92.18,banana
84.0,88.0,50.0,29.15,84.12,6.14,115.29,banana
98.0,74.0,54.0,28.25,84.06,6.03,101.26,banana
100.0,93.0,48.0,29.67,83.64,6.04,90.14,banana
103.0,94.0,50.0,25.45,82.02,6.19,118.15,banana
93.0,82.0,49.0,28.83,81.74,6.2,97.5,banana
92.0,72.0,49.0,25.21,81.72,5.79,114.59,banana
22.0,19.0,29.0,30.97,48.85,4.9,99.29,mango
25.0,30.0,34.0,35.71,47.84,5.54,95.52,mango
34.0,28.0,26.0,30.78,54.7,6.5,97.3,mango
8.0,23.0,34.0,28.47,46.52,5.98,93.74,mango
19.0,34.0,31.0,31.19,48.85,6.66,93.51,mango
38.0,24.0,33.0,29.74,49.17,4.68,93.06,mango
9.0,26.0,31.0,33.9,52.03,6.57,91.0,mango
19.0,30.0,26.0,30.34,51.9,4.9,96.49,mango
21.0,30.0,27.0,33.51,45.7,4.66,92.96,mango
28.0,35.0,27.0,34.69,45.94,5.79,96.02,mango
40.0,39.0,33.0,27.85,51.05,6.37,91.88,mango
8.0,18.0,30.0,33.35,47.91,6.1,100.0,mango
35.0,22.0,26.0,29.38,53.36,5.08,93.61,mango
7.0,35.0,27.0,33.25,51.24,4.86,96.43,mango
1.0,38.0,35.0,33.31,52.21,4.53,94.67,mango
26.0,17.0,28.0,28.61,46.82,6.06,94.26,mango
29.0,39.0,33.0,33.55,51.26,6.44,98.64,mango
25.0,34.0,33.0,31.4,48.34,5.48,98.21,mango
39.0,16.0,33.0,29.91,51.47,4.79,97.43,mango
2.0,39.0,33.0,28.86,48.55,5.82,95.3,mango
8.0,16.0,26.0,31.79,51.19,5.19,98.8,mango
26.0,35.0,34.0,32.8,46.64,5.92,95.12,mango
21.0,16.0,34.0,30.81,53.04,5.99,95.62,mango
6.0,25.0,32.0,27.16,54.26,5.55,94.43,mango
40.0,37.0,25.0,35.31,47.75,4.78,99.43,mango
32.0,22.0,27.0,34.64,46.24,6.78,93.4,mango
29.0,34.0,31.0,29.76,46.1,6.2,98.24,mango
34.0,28.0,32.0,28.7,52.0,6.04,95.56,mango
39.0,17.0,29.0,35.69,52.86,6.69,99.48,mango
34.0,39.0,25.0,32.52,54.92,4.62,93.69,mango
30.0,26.0,34.0,34.12,45.23,4.75,92.44,mango
20.0,31.0,29.0,34.22,51.72,5.68,93.41,mango
31.0,22.0,33.0,29.36,52.15,5.83,97.75,mango
1.0,31.0,26.0,33.89,49.07,5.71,96.86,mango
30.0,39.0,26.0,32.19,51.25,5.28,98.27,mango
25.0,29.0,31.0,35.92,47.5,6.5,91.7,mango
7.0,35.0,31.0,30.65,51.85,5.38,90.1,mango
27.0,32.0,27.0,27.9,53.4,6.44,98.04,mango
39.0,23.0,31.0,29.44,52.96,6.5,96.13,mango
30.0,40.0,34.0,33.53,54.57,6.26,99.89,mango
4.0,29.0,30.0,27.73,49.55,6.43,98.19,mango
13.0,36.0,30.0,29.48,45.57,5.82,94.4,mango
39.0,22.0,27.0,31.01,52.26,4.87,91.79,mango
36.0,28.0,26.0,29.28,46.52,5.5,97.56,mango
14.0,18.0,30.0,34.09,51.93,5.2,94.96,mango
32.0,30.0,29.0,35.91,49.99,6.1,95.79,mango
37.0,35.0,26.0,32.39,45.39,6.19,95.28,mango
35.0,20.0,29.0,34.37,51.05,6.61,98.86,mango
34.0,18.0,34.0,32.31,51.25,5.4,96.35,mango
16.0,26.0,28.0,27.92,52.5,6.87,90.38,mango
17.0,16.0,31.0,30.89,46.7,6.35,93.2,mango
11.0,27.0,33.0,29.79,53.3,4.87,94.64,mango
13.0,26.0,29.0,32.85,45.74,5.93,93.28,mango
12.0,38.0,29.0,33.05,52.15,5.07,99.34,mango
34.0,26.0,32.0,29.19,46.06,5.26,93.51,mango
17.0,35.0,33.0,35.82,45.32,6.42,97.18,mango
16.0,23.0,33.0,33.51,47.98,6.9,91.76,mango
23.0,40.0,26.0,32.05,49.26,5.4,96.31,mango
31.0,20.0,34.0,34.08,52.3,4.51,93.7,mango
29.0,21.0,33.0,30.03,54.55,6.57,91.67,mango
6.0,37.0,27.0,31.92,54.48,6.29,93.33,mango
14.0,34.0,25.0,27.49,46.49,6.0,98.55,mango
7.0,21.0,28.0,35.75,48.95,6.25,99.92,mango
6.0,35.0,27.0,34.52,49.44,5.89,91.2,mango
10.0,24.0,33.0,28.89,48.28,6.02,97.21,mango
38.0,32.0,30.0,35.64,49.33,5.64,92.6,mango
17.0,36.0,28.0,31.85,47.12,6.69,94.71,mango
37.0,24.0,26.0,29.53,48.39,6.47,94.99,mango
34.0,37.0,28.0,32.88,50.61,6.43,99.89,mango
2.0,22.0,30.0,32.4,53.1,5.22,93.13,mango
37.0,33.0,26.0,32.97,49.88,6.94,91.15,mango
17.0,35.0,31.0,31.21,51.88,5.21,98.24,mango
38.0,17.0,26.0,28.72,49.67,5.91,95.04,mango
20.0,17.0,27.0,33.49,45.33,5.5,96.65,mango
32.0,20.0,27.0,28.51,50.73,6.86,99.62,mango
33.0,24.0,29.0,28.82,49.91,6.76,98.21,mango
15.0,22.0,29.0,28.24,51.48,5.94,92.46,mango
34.0,21.0,26.0,31.66,46.03,6.85,97.43,mango
37.0,36.0,34.0,30.31,54.95,6.38,90.23,mango
16.0,35.0,26.0,33.88,45.97,6.79,95.7,mango
34.0,17.0,28.0,28.24,53.48,5.18,94.18,mango
31.0,21.0,34.0,35.8,46.69,6.75,99.64,mango
22.0,28.0,33.0,34.32,48.55,5.91,96.99,mango
31.0,36.0,34.0,32.43,51.53,6.53,97.46,mango
31.0,28.0,33.0,29.09,46.19,6.04,92.21,mango
35.0,21.0,30.0,35.73,45.01,6.19,98.26,mango
21.0,19.0,31.0,27.49,52.89,6.36,94.21,mango
32.0,23.0,28.0,29.07,49.61,5.62,95.88,mango
1.0,20.0,26.0,33.21,48.8,5.05,90.38,mango
32.0,38.0,33.0,33.63,54.46,5.27,98.55,mango
4.0,31.0,26.0,28.13,47.21,6.85,90.96,mango
15.0,16.0,28.0,31.57,45.55,4.93,98.45,mango
23.0,22.0,33.0,32.36,52.34,6.43,92.05,mango
30.0,18.0,31.0,32.47,49.67,4.59,99.59,mango
18.0,38.0,27.0,27.93,46.31,4.99,97.0,mango
21.0,34.0,31.0,35.97,45.22,6.03,95.0,mango
28.0,27.0,26.0,31.71,47.36,5.31,95.63,mango
28.0,19.0,34.0,34.04,50.02,5.85,91.05,mango
8.0,18.0,25.0,34.38,49.28,5.29,98.21,mango
38.0,21.0,26.0,33.7,49.92,5.12,93.37,mango
1.0,124.0,200.0,14.52,83.54,6.07,72.76,grapes
1.0,135.0,200.0,19.88,80.06,6.3,71.67,grapes
35.0,121.0,204.0,10.88,83.06,5.78,68.74,grapes
2.0,134.0,200.0,14.01,80.88,6.04,71.14,grapes
20.0,136.0,205.0,13.06,84.88,6.17,71.96,grapes
16.0,130.0,196.0,12.26,84.06,6.23,69.78,grapes
17.0,129.0,200.0,18.08,84.6,6.1,69.16,grapes
12.0,134.0,204.0,9.93,84.87,6.33,68.0,grapes
10.0,135.0,197.0,18.16,80.87,6.31,67.3,grapes
2.0,121.0,197.0,36.62,84.88,6.45,67.85,grapes
35.0,142.0,202.0,11.38,83.69,6.0,72.67,grapes
8.0,128.0,204.0,17.27,82.99,6.1,65.85,grapes
27.0,128.0,202.0,8.33,83.85,5.7,66.41,grapes
22.0,138.0,205.0,18.84,80.06,5.71,66.69,grapes
3.0,136.0,197.0,18.31,80.23,6.48,65.18,grapes
7.0,144.0,197.0,9.25,84.31,6.14,68.12,grapes
38.0,124.0,200.0,11.02,80.12,6.21,72.68,grapes
26.0,125.0,200.0,33.51,81.91,6.16,66.22,grapes
1.0,137.0,200.0,24.2,80.24,6.34,65.61,grapes
28.0,122.0,205.0,13.5,83.44,6.47,66.85,grapes
20.0,130.0,200.0,23.35,81.09,6.09,74.99,grapes
36.0,136.0,203.0,20.07,82.22,5.93,69.86,grapes
29.0,141.0,197.0,36.43,81.09,5.6,68.18,grapes
10.0,136.0,195.0,20.22,83.0,5.53,73.8,grapes
23.0,141.0,200.0,39.89,80.87,5.63,69.83,grapes
5.0,128.0,197.0,29.21,80.03,6.38,73.54,grapes
3.0,131.0,198.0,20.47,83.62,5.95,66.07,grapes
18.0,124.0,200.0,36.13,84.08,5.52,74.27,grapes
4.0,133.0,198.0,30.21,84.49,6.11,70.49,grapes
20.0,122.0,202.0,12.42,80.7,5.52,71.5,grapes
33.0,120.0,197.0,24.04,84.83,6.46,65.33,grapes
18.0,121.0,195.0,30.31,82.62,5.53,67.75,grapes
0.0,137.0,203.0,28.07,82.12,6.49,71.03,grapes
14.0,135.0,201.0,37.18,80.05,6.43,67.82,grapes
7.0,137.0,203.0,13.96,81.85,5.62,65.56,grapes
11.0,139.0,199.0,29.24,84.67,6.35,66.59,grapes
25.0,121.0,201.0,25.33,82.27,6.3,74.3,grapes
5.0,131.0,203.0,39.31,84.26,6.17,68.06,grapes
34.0,128.0,203.0,31.59,83.31,5.78,71.94,grapes
35.0,130.0,203.0,25.08,80.97,5.81,68.35,grapes
21.0,128.0,203.0,17.97,83.45,5.69,70.43,grapes
32.0,129.0,200.0,37.34,80.87,6.12,70.64,grapes
28.0,128.0,202.0,19.34,81.84,6.14,70.78,grapes
38.0,128.0,198.0,35.11,80.53,5.61,66.08,grapes
17.0,133.0,196.0,29.93,84.14,5.69,66.82,grapes
24.0,136.0,200.0,17.59,80.7,5.65,71.83,grapes
24.0,123.0,200.0,12.94,83.73,5.85,69.25,grapes
32.0,130.0,200.0,26.32,81.25,6.27,68.29,grapes
2.0,141.0,199.0,19.9,80.13,5.67,67.89,grapes
24.0,138.0,200.0,21.71,83.69,5.94,67.06,grapes
26.0,141.0,202.0,20.88,83.28,5.9,65.43,grapes
7.0,129.0,203.0,38.16,84.56,6.5,66.81,grapes
20.0,142.0,204.0,29.16,81.66,6.13,66.94,grapes
17.0,144.0,205.0,28.47,84.25,6.09,72.39,grapes
25.0,141.0,197.0,14.44,83.44,5.59,66.3,grapes
25.0,135.0,195.0,28.46,81.73,6.21,73.75,grapes
18.0,130.0,197.0,38.1,80.73,5.53,68.79,grapes
5.0,136.0,203.0,23.09,84.85,6.44,68.32,grapes
38.0,124.0,201.0,36.43,81.95,5.59,68.28,grapes
12.0,121.0,204.0,28.95,80.48,6.5,66.4,grapes
34.0,128.0,195.0,21.73,80.81,6.35,70.75,grapes
27.0,137.0,195.0,12.57,81.25,6.14,68.87,grapes
18.0,142.0,198.0,15.35,81.85,6.29,65.51,grapes
2.0,124.0,202.0,20.8,80.47,5.6,72.43,grapes
17.0,125.0,196.0,14.49,83.74,5.99,68.03,grapes
27.0,120.0,199.0,22.41,80.84,6.2,74.73,grapes
30.0,136.0,200.0,32.22,84.65,5.65,70.7,grapes
16.0,136.0,204.0,19.51,80.99,5.81,74.57,grapes
3.0,129.0,197.0,20.04,84.08,5.67,70.12,grapes
32.0,123.0,201.0,18.94,83.19,5.94,70.3,grapes
12.0,143.0,197.0,14.95,82.19,6.13,65.59,grapes
5.0,134.0,202.0,16.94,82.96,5.96,74.12,grapes
23.0,142.0,197.0,37.37,84.23,6.08,68.92,grapes
34.0,134.0,200.0,23.84,83.19,5.67,68.0,grapes
14.0,139.0,202.0,27.22,83.29,6.0,66.6,grapes
11.0,138.0,203.0,11.15,83.98,5.8,72.95,grapes
36.0,128.0,201.0,12.61,84.24,5.93,72.25,grapes
